dates,values
5/1/2015,"2,022"
5/7/2015,"2,022"
5/8/2015,"2,027"
5/11/2015,"2,083"
5/12/2015,"2,075"
5/13/2015,"2,061"
5/14/2015,"2,036"
5/15/2015,"2,073"
5/18/2015,"2,024"
5/19/2015,"2,042"
5/20/2015,"2,059"
5/21/2015,"2,053"
5/22/2015,"2,065"
5/25/2015,"2,052"
5/26/2015,"2,063"
5/27/2015,"2,055"
5/28/2015,"2,044"
5/29/2015,"2,042"
6/1/2015,"2,034"
6/2/2015,"2,036"
6/3/2015,"2,095"
6/4/2015,"2,138"
6/5/2015,"2,149"
6/8/2015,"2,159"
6/9/2015,"2,160"
6/10/2015,"2,155"
6/11/2015,"2,176"
6/12/2015,"2,165"
6/15/2015,"2,171"
6/16/2015,"2,161"
6/17/2015,"2,166"
6/18/2015,"2,108"
6/19/2015,"2,128"
6/22/2015,"2,132"
6/23/2015,"2,135"
6/24/2015,"2,144"
6/25/2015,"2,120"
6/26/2015,"2,131"
6/29/2015,"2,096"
6/30/2015,"2,115"
7/1/2015,"2,117"
7/2/2015,"2,137"
7/3/2015,"2,140"
7/6/2015,"2,136"
7/7/2015,"2,140"
7/8/2015,"2,133"
7/9/2015,"2,040"
7/10/2015,"2,048"
7/13/2015,"2,076"
7/14/2015,"2,114"
7/15/2015,"2,123"
7/16/2015,"2,130"
7/17/2015,"2,132"
7/21/2015,"2,136"
7/22/2015,"2,117"
7/23/2015,"2,137"
7/24/2015,"2,134"
7/27/2015,"2,135"
7/28/2015,"2,132"
7/29/2015,"2,147"
7/30/2015,"2,160"
7/31/2015,"2,351"
8/3/2015,"2,423"
8/4/2015,"2,452"
8/5/2015,"2,464"
8/6/2015,"2,488"
8/7/2015,"2,444"
8/10/2015,"2,461"
8/11/2015,"2,453"
8/12/2015,"2,453"
8/13/2015,"2,446"
8/14/2015,"2,441"
8/17/2015,"2,460"
8/18/2015,"2,496"
8/19/2015,"2,450"
8/20/2015,"2,406"
8/21/2015,"2,381"
8/24/2015,"2,258"
8/25/2015,"2,245"
8/26/2015,"2,325"
8/27/2015,"2,393"
8/28/2015,"2,389"
8/31/2015,"2,415"
